t,x,y,yaw,wz,cmd_w,phase
12.95,33.99850082397461,40.800079345703125,0.325396554068965,0.28732091188430786,0.3,step_0.3
12.966666666,33.998435974121094,40.80009841918945,0.3300774790512284,0.2894976735115051,0.3,step_0.3
12.983333333000001,33.998355865478516,40.80011749267578,0.3347704129924118,0.28990909457206726,0.3,step_0.3
13.0,33.998287200927734,40.800140380859375,0.3394646483813239,0.2889050841331482,0.3,step_0.3
13.016666666,33.99821853637695,40.800209045410156,0.3441645415779772,0.2897297441959381,0.3,step_0.3
13.033333333,33.99814987182617,40.8001708984375,0.348846070431565,0.2875407934188843,0.3,step_0.3
13.05,33.99809265136719,40.80022048950195,0.35347431724099115,0.29026395082473755,0.3,step_0.3
13.066666666,33.99801254272461,40.80025100708008,0.3581886956734995,0.29099413752555847,0.3,step_0.3
13.083333333,33.99790573120117,40.80032730102539,0.36287855887396653,0.2895195186138153,0.3,step_0.3
13.1,33.997825622558594,40.80036163330078,0.36757918867395134,0.28998085856437683,0.3,step_0.3
13.116666666,33.99775695800781,40.80033493041992,0.37226926116044967,0.2905732989311218,0.3,step_0.3
13.133333333,33.9976921081543,40.800357818603516,0.37695044770936836,0.28918421268463135,0.3,step_0.3
13.15,33.99762725830078,40.80034255981445,0.38164018690735835,0.28951016068458557,0.3,step_0.3
13.166666666,33.9975700378418,40.80036544799805,0.38632869499940736,0.28889918327331543,0.3,step_0.3
13.183333333,33.99753189086914,40.80034255981445,0.39101139112036293,0.2889088988304138,0.3,step_0.3
13.2,33.997493743896484,40.80034255981445,0.39567929837256793,0.29080334305763245,0.3,step_0.3
13.216666666,33.99745178222656,40.80033874511719,0.4004007708534512,0.2959689795970917,0.3,step_0.3
13.233333333,33.99750900268555,40.80027389526367,0.40513780759889706,0.2912965416908264,0.3,step_0.3
13.25,33.99750900268555,40.80036163330078,0.4098718991610261,0.2913160026073456,0.3,step_0.3
13.266666666,33.99748611450195,40.8004150390625,0.4145767364277777,0.2884197235107422,0.3,step_0.3
13.283333333,33.99748611450195,40.800376892089844,0.4192568583558083,0.2893328070640564,0.3,step_0.3
13.3,33.9974250793457,40.80043029785156,0.423947330003832,0.28905242681503296,0.3,step_0.3
13.316666666,33.99738693237305,40.80039596557617,0.42862554593121605,0.2902851402759552,0.3,step_0.3
13.333333333,33.99736022949219,40.800411224365234,0.4333090256749652,0.2889334261417389,0.3,step_0.3
13.35,33.99732208251953,40.8004150390625,0.4380020783994383,0.2897077202796936,0.3,step_0.3
13.366666666,33.997276306152344,40.800418853759766,0.4427123077599538,0.2893421947956085,0.3,step_0.3
13.383333333,33.997196197509766,40.800498962402344,0.4474067978247451,0.28824448585510254,0.3,step_0.3
13.4,33.997127532958984,40.8005256652832,0.452091194072999,0.2900311350822449,0.3,step_0.3
13.416666666,33.99712371826172,40.80050277709961,0.4567879923874153,0.293171226978302,0.3,step_0.3
13.433333333,33.99711990356445,40.800537109375,0.46151333839763964,0.2926532030105591,0.3,step_0.3
13.45,33.997135162353516,40.80051803588867,0.46624129853181573,0.2907642126083374,0.3,step_0.3
13.466666666,33.99709701538086,40.800537109375,0.47096413959330113,0.2899113893508911,0.3,step_0.3
13.483333333000001,33.997066497802734,40.80049133300781,0.4756627032536101,0.29167166352272034,0.3,step_0.3
13.5,33.997100830078125,40.80048751831055,0.48035074477024214,0.28919780254364014,0.3,step_0.3
13.516666666,33.99713897705078,40.800479888916016,0.4850420694294207,0.2906533479690552,0.3,step_0.3
13.533333333,33.997154235839844,40.80049514770508,0.4897493375011397,0.29042181372642517,0.3,step_0.3
13.55,33.99717712402344,40.800479888916016,0.4944460011898905,0.28972068428993225,0.3,step_0.3
13.566666666,33.99716567993164,40.800506591796875,0.4991505402756732,0.28930336236953735,0.3,step_0.3
13.583333333,33.99713897705078,40.80048751831055,0.5038500679988344,0.288282185792923,0.3,step_0.3
13.6,33.997066497802734,40.80049133300781,0.5085515543993032,0.28839319944381714,0.3,step_0.3
13.616666666,33.996986389160156,40.800514221191406,0.513239540793814,0.28695201873779297,0.3,step_0.3
13.633333333,33.996910095214844,40.80055236816406,0.5179119043458728,0.2886538803577423,0.3,step_0.3
13.65,33.99689865112305,40.80051040649414,0.5225911003624897,0.28991833329200745,0.3,step_0.3
13.666666666,33.996856689453125,40.80052185058594,0.5272808681906036,0.2891717553138733,0.3,step_0.3
13.683333333,33.99684143066406,40.80049514770508,0.5319658954913083,0.28978604078292847,0.3,step_0.3
13.7,33.996803283691406,40.800498962402344,0.5366534189999489,0.28884801268577576,0.3,step_0.3
13.716666666,33.99674987792969,40.8005485534668,0.5413539635671739,0.2912313640117645,0.3,step_0.3
13.733333333000001,33.996734619140625,40.800514221191406,0.5460494396442941,0.2893427908420563,0.3,step_0.3
13.75,33.996700286865234,40.80051040649414,0.5507430309098649,0.29007118940353394,0.3,step_0.3
13.766666666,33.99669647216797,40.80048751831055,0.5554596103085246,0.29352301359176636,0.3,step_0.3
13.783333333,33.9967155456543,40.80044937133789,0.560202600307673,0.29296329617500305,0.3,step_0.3
13.8,33.99667739868164,40.800506591796875,0.5649395152421239,0.29233554005622864,0.3,step_0.3
13.816666666,33.99665451049805,40.800540924072266,0.5696657438428243,0.2919923961162567,0.3,step_0.3
13.833333333,33.99666213989258,40.80055236816406,0.5743850143809868,0.29145514965057373,0.3,step_0.3
13.85,33.99663162231445,40.80058670043945,0.5790869810686168,0.2893650531768799,0.3,step_0.3
13.866666666,33.996612548828125,40.80062484741211,0.5837828300961533,0.28864994645118713,0.3,step_0.3
13.883333333,33.9965934753418,40.800575256347656,0.588463307506721,0.28711092472076416,0.3,step_0.3
13.9,33.996524810791016,40.800567626953125,0.5931601979891538,0.29037535190582275,0.3,step_0.3
13.916666666,33.996498107910156,40.800537109375,0.5978564412252405,0.29026785492897034,0.3,step_0.3
13.933333333,33.996490478515625,40.8005256652832,0.6025312430652392,0.2886774241924286,0.3,step_0.3
13.95,33.99646759033203,40.800533294677734,0.607220324647816,0.2877339720726013,0.3,step_0.3
13.966666666,33.996482849121094,40.80049514770508,0.6119186335010672,0.290798157453537,0.3,step_0.3
13.983333333000001,33.9964485168457,40.80054473876953,0.6166426046696335,0.29001790285110474,0.3,step_0.3
14.0,33.99644470214844,40.80049514770508,0.6213497116594954,0.29043811559677124,0.3,step_0.3
14.016666666,33.9964485168457,40.800453186035156,0.6260425204063711,0.2888861894607544,0.3,step_0.3
14.033333333,33.99645233154297,40.80046081542969,0.6307425492208514,0.29067492485046387,0.3,step_0.3
14.05,33.9964599609375,40.80048370361328,0.6354433292848102,0.28982818126678467,0.3,step_0.3
14.066666666,33.996463775634766,40.80048751831055,0.6401393550746926,0.29039180278778076,0.3,step_0.3
14.083333333,33.99648666381836,40.80046463012695,0.6448318468578662,0.2920270264148712,0.3,step_0.3
14.1,33.996437072753906,40.800537109375,0.6495583248966842,0.29118862748146057,0.3,step_0.3
14.116666666,33.996421813964844,40.80055618286133,0.654274014035129,0.28955963253974915,0.3,step_0.3
14.133333333,33.99641036987305,40.80056381225586,0.6589729023445842,0.28810492157936096,0.3,step_0.3
14.15,33.99642562866211,40.80050277709961,0.6636710527582825,0.28768301010131836,0.3,step_0.3
14.166666666,33.99642562866211,40.800498962402344,0.6683673015549187,0.2893751561641693,0.3,step_0.3
14.183333333,33.99638748168945,40.80055236816406,0.673050995168785,0.28754907846450806,0.3,step_0.3
14.2,33.996376037597656,40.800559997558594,0.6777264890576092,0.288543701171875,0.3,step_0.3
14.216666666,33.99640655517578,40.800533294677734,0.6824229449184054,0.2903420031070709,0.3,step_0.3
